,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
40, KEVIN ANDREW BLALOCK,AL,49212.24,,,,
41, CASEY WARDYNSKI,AL,777338.34,,,,
42, HARRISON GAGE WOODARD WRIGHT,AL,0.0,,,,
43, JOHN ROBERTS,AL,167173.32,,,,
44, PAUL SANFORD,AL,70417.97,,,,
45, CHARLES THOMPSON,AL,34895.13,,,,
46, GARY PALMER,AL,1166573.39,,,AL-6,96
47, TERRI A. SEWELL,AL,1606404.5,,,AL-7,81
48, EDDISON T WALTERS,AL,0.0,,,,
49, BEATRICE JACKSON NICHOLS,AL,47695.24,,,AL-7,78
50, CHAD CAUSEY,AR,15181.59,,,,
51, MONTE HODGES,AR,60079.23,,,AR-1,96
52, ERIC ALAN RICK CRAWFORD,AR,637982.03,,,AR-1,70
53, PRINCELLA D SMITH,AR,0.0,,,,
54, BRANDT SMITH,AR,30450.0,,,,
55, JODY SHACKELFORD,AR,21377.52,,,,
56, JOYCE ANN SENATOR ELLIOTT,AR,129574.4,,,,
57, NICHOLAS CARTWRIGHT,AR,19989.0,,,,
58, GWENDOLYNN MILLEN MRS. COMBS,AR,0.0,,,,
59, CONRAD E REYNOLDS,AR,150194.2,,,,
60, DAVID P POSTON,AR,1309.86,,,,
61, JAMES FRENCH HILL,AR,2659110.5,,,AR-2,76
62, DAVID JEFFREY WHITAKER,AR,0.0,,,,
63, LAUREN HAYS,AR,44418.3,,,AR-3,71
64, STEVE WOMACK,AR,1083110.59,,,AR-3,96
65, JAMES PAUL HENDREN,AR,19.96,,,,
66, NEIL KUMAR,AR,110333.24,,,,
67, WILLIAM MR. HANSON,AR,929.98,,,,
68, HAYDEN CATHERINE SHAMEL,AR,21.0,,,,
69, THOMAS COTTON,AR,3069187.01,,,,
70, BRUCE WESTERMAN,AR,1328211.26,,,AR-4,97
71, AUMUA AMATA,AS,57524.13,,,,
72, EVA PUTZOVA,AZ,21118.24,,,,
73, GINGER SYKES TORRES,AZ,129544.06,,,,
74, JEVIN D HODGE,AZ,2501175.74,,,AZ-1,88
75, W (WALTER) JOHN WILLIAMSON,AZ,289.73,,,,
76, ADAM METZENDORF,AZ,308020.36,,,,
77, JOSH BARNETT,AZ,62912.51,,,,
78, RICHARD G. RENZI,AZ,1244.79,,,,
79, JOHN W MOORE FOR AZ,AZ,181611.56,,,,
80, ANDY YATES,AZ,114706.0,,,,
81, ELIJAH NORTON,AZ,5398455.02,,,,
82, GARY KIEHNE,AZ,0.0,,,,
83, TIFFANY SHEDD,AZ,76584.62,,,,
84, PETER QUILTER,AZ,1816.0,,,,
85, RANDALL S. FRIESE,AZ,705957.71,,,,
86, TOM O'HALLERAN,AZ,4248739.08,,,AZ-2,97
87, MATTHEW GERALD HEINZ,AZ,0.0,,,,
88, JOSEPH DAVID MORGAN,AZ,321.0,,,,
89, BRANDON RAY MARTIN,AZ,606.19,,,,
90, SHAY STAUTZ,AZ,6589.23,,,,
91, WALTER JACK BLACKMAN,AZ,1151626.08,,,,
92, ELI CRANE,AZ,3556205.29,,,AZ-2,95
93, RONALD WATKINS,AZ,262318.38,,,,
94, DOUGLAS LOWELL,AZ,278696.15,,,,
95, BRANDON MR. MARTIN,AZ,155633.21,,,,
96, LUCRETIA FREE,AZ,16697.49,,,,
97, MARK DELUZIO,AZ,1331382.96,,,,
98, STEVEN KRYSTOFIAK,AZ,510811.16,,,,
99, MYRON LIZER,AZ,735.52,,,,
100, MARTHA MCSALLY,AZ,0.0,,,,
101, BRANDON RAY MARTIN,AZ,606.19,,,,
102, RUBEN GALLEGO,AZ,1945968.33,,,AZ-3,96
103, LUIS B POZZOLO,AZ,268102.04,,,AZ-7,89
104, JEFFREY NELSON MR ZINK,AZ,54677.95,,,,
105, EDNA SAN MIGUEL,AZ,0.0,,,,
106, JUDITH STAHL,AZ,261679.59,,,,
107, GREG STANTON,AZ,5324884.85,,,AZ-4,96
108, RON GOULD,AZ,0.0,,,,
109, TANYA CONTRERAS WHEELESS,AZ,1285879.4,,,,
110, JERONE DAVISON,AZ,146399.07,,,,
111, KELLY COOPER,AZ,2122236.02,,,AZ-4,96
112, JAVIER GARCIA MR. RAMOS,AZ,15626.17,,,AZ-5,67
113, JOAN GREENE,AZ,25005.84,,,,
114, ANDY MR. BIGGS,AZ,2437427.13,,,AZ-5,80
115, JUSTIN OLSON,AZ,0.0,,,,
116, CLINT SMITH,AZ,197482.53,,,,
117, KARL E GENTLES,AZ,0.0,,,,
118, KIRSTEN ENGEL,AZ,2463661.76,,,AZ-6,96
119, MARCOS J URREA,AZ,9603.59,,,,
120, DANIEL HERNANDEZ,AZ,1193639.86,,,,
121, ERIC ULIS,AZ,6336.85,,,,
122, DELINA DISANTO,AZ,183046.71,,,,
123, HIRAL VYAS TIPIRNENI,AZ,58763.17,,,,
124, JEFF MR. FLAKE,AZ,252716.17,,,,
125, JUAN CISCOMANI,AZ,3323773.63,,,AZ-6,97
126, KATHLEEN WINN,AZ,346101.4,,,,
127, KEVIN KONCZAL,AZ,12179.69,,,,
128, KELLY TOWNSEND,AZ,21097.95,,,,
129, YOUNG MAYBERRY,AZ,25323.57,,,,
130, DAVID S. SCHWEIKERT,AZ,1926242.8,,,AZ-1,89
131, ED L PASTOR,AZ,94444.3,,,,
132, RAUL M GRIJALVA,AZ,642634.53,,,AZ-7,83
133, NINA BECKER,AZ,900.19,,,,
134, MICHAEL ARCHANGEL MUSCATO,AZ,35945.64,,,,
135, ROBERT OLSEN,AZ,33578.2,,,,
136, DEBBIE LESKO,AZ,842771.16,,,AZ-8,96
137, KYRSTEN SINEMA,AZ,1888765.82,,,,
138, DAVID SCHAPIRA,AZ,0.0,,,AZ-1,71
139, PAUL DR. GOSAR,AZ,836153.75,,,AZ-9,80
140, VERNON PARKER,AZ,0.0,,,,
141, NICHOLAS TUTORA,AZ,171.26,,,,
142, ADAM MORGAN,AZ,84349.52,,,,
143, TRAVIS W. GRANTHAM,AZ,360.0,,,,
144, ALEX STOVALL,AZ,149501.96,,,,
145, JESUS RENE JR. LOPEZ,AZ,172698.5,,,,
146, RANDY KUTZ,AZ,78885.21,,,,
147, SANDRA E DR DOWLING,AZ,71959.16,,,,
148, DAVID VICTOR GILES,AZ,84345.92,,,,
149, CHRISTINE BISH,CA,84632.17,,,CA-27,64
150, ROBERT K LYDON,CA,4129.88,,,,
151, MAX STEINER,CA,590546.44,,,CA-7,64
152, DAVID LEON MR. ZINK,CA,16454.0,,,,
153, AUDREY L DENNEY,CA,4628.82,,,,
154, DOUG LAMALFA,CA,685660.72,,,CA-1,96
155, ROSE PENELOPE LAGOC YEE,CA,16041.46,,,,
156, BETH HAMPSON,CA,13320.68,,,CA-4,62
157, JARED HUFFMAN,CA,746741.79,,,CA-2,96
158, DOUGLAS REV BROWER,CA,15677.0,,,CA-2,85
159, CHRIS MR COULOMBE,CA,44858.93,,,,
160, ARCHIMEDES M.D. RAMIREZ,CA,23635.0,,,,
161, DALE KENNETH MENSING,CA,5084.77,,,,
162, KERMIT JONES,CA,3223404.96,,,CA-3,96
163, J.C. SEAN FEUCHT,CA,10844.69,,,,
164, JASON PALETTA,CA,26405.45,,,,
165, SCOTT R JONES,CA,567898.41,,,CA-50,62
166, KEVIN KILEY,CA,3173870.51,,,CA-3,96
167, DANIEL LOGUE,CA,0.0,,,,
168, ANDREW DAVID ENGDAHL,CA,10264.97,,,,
169, MIKE MR. THOMPSON,CA,2268638.32,,,CA-4,84
170, JESSICA MORSE,CA,31055.55,,,,
171, SETH NEWMAN,CA,303.0,,,,
172, MATTHEW BROCK,CA,11242.15,,,CA-4,83
173, MONIKA LOUISE MS. SHELDON-LONDON,CA,5658.3,,,,
174, MICHAEL JAMES MR. BARKLEY,CA,457921.0,,,CA-5,71
175, DAVID NATHAN MAIN,CA,8442.0,,,,
176, JOLENE DALY,CA,4840.31,,,,
177, NATHAN MAGSIG,CA,428764.28,,,,
178, THOMAS MCCLINTOCK,CA,1649175.16,,,CA-5,88
179, AMERISH BERA,CA,1809478.16,,,CA-6,76
180, DELMA JEFFERSON,CA,82073.35,,,,
181, TAMIKA HAMILTON,CA,1157631.44,,,CA-6,97
182, JOHN DENNIS MCQUAID,CA,935475.09,,,CA-11,71
183, DAVID KEITH MR. JR. LANGFORD,CA,427.37,,,,
184, BRET DANIELS,CA,15187.0,,,,
185, KARLA BLACK,CA,2935.58,,,,
186, JAMES LUCAS FREMGEN,CA,42377.71,,,,
187, DORIS MATSUI,CA,1404041.35,,,CA-7,96
188, ROBERT BUZZ PATTERSON,CA,19304.83,,,,
189, JON IVY,CA,19.5,,,,
190, ELIZABETH EMKEN,CA,0.0,,,,
191, MAX SEMENENKO,CA,48486.15,,,CA-7,96
192, IGOR A BIRMAN,CA,0.0,,,,
193, ANDREW GRANT,CA,7945.34,,,,
194, CHRISTINE BUBSER,CA,14783.63,,,,
195, BLANCA GOMEZ,CA,1743.02,,,,
196, JOHN GARAMENDI,CA,1103531.85,,,CA-11,62
197, DEMNLUS III JOHNSON,CA,29590.73,,,,
198, CHERYL SUDDUTH,CA,35618.76,,,,
199, EDWIN RUTSCH,CA,9075.0,,,,
200, JEREMY STAAT,CA,125.0,,,,
201, RUDY RECILE,CA,60154.65,,,CA-8,96
202, PAUL COOK,CA,3118.66,,,,
203, HARPREET SINGH CHIMA,CA,80940.93,,,,
204, KARENA FENG,CA,6381714.98,,,,
205, JERRY MCNERNEY,CA,696267.17,,,,
206, JOSH HARDER,CA,8715083.6,,,CA-13,61
207, THOMAS PATTI,CA,1576834.54,,,CA-9,82
208, JONATHAN MADISON,CA,72638.76,,,,
209, JAMES H SHOEMAKER,CA,26871.26,,,,
210, MARK DESAULNIER,CA,524180.45,,,CA-10,97
211, JEFF DENHAM,CA,78162.73,,,,
212, RANJIT GILL,CA,213525.0,,,,
213, TED D II HOWZE,CA,15904.39,,,,
214, MICHAEL ERNEST KERR,CA,6620.58,,,CA-10,97
215, JEFFREY ALAN PHILLIPS,CA,4979.03,,,,
216, NANCY PELOSI,CA,27787734.22,,,CA-11,96
217, SHAHID BUTTAR,CA,200990.85,,,,
218, NISHA SHARMA,CA,1229.94,,,,
219, JOHN MR. DENNIS,CA,935475.09,,,CA-11,81
220, MICHAEL ERNEST KERR,CA,6620.58,,,CA-10,97
221, ERIC CURRY,CA,5177.0,,,,
222, BARBARA LEE,CA,2269457.32,,,CA-12,96
223, DEANNA LORRAINE,CA,1503.04,,,,
224, STEPHEN SCOTT SLAUSON,CA,1050.0,,,CA-12,81
225, PHIL ARBALLO,CA,1637184.73,,,,
226, ADAM C. GRAY,CA,2259284.48,,,CA-13,82
227, DIEGO J MARTINEZ,CA,2114.3,,,CA-31,68
228, DAVID ANTHONY GIGLIO,CA,737065.43,,,,
229, JOHN DUARTE,CA,2508119.84,,,CA-11,61
230, CRISTOS JON GOODROW,CA,295.06,,,,
231, ANDREW G. WATTERS,CA,0.0,,,CA-43,65
232, ERIC MICHAEL SWALWELL,CA,3659003.02,,,CA-14,74
233, JACKIE SPEIER,CA,409825.44,,,,
234, THOMAS WONG,CA,16598.76,,,CA-4,64
235, STEVE IYER,CA,2274.46,,,CA-1,64
236, MAJOR SINGH,CA,13708.23,,,,
237, KEVIN MULLIN,CA,1140955.83,,,CA-15,96
238, DAVID CANEPA,CA,815318.46,,,CA-15,86
239, EMILY BEACH,CA,580608.95,,,,
240, GUS MATTAMMAL,CA,36337.71,,,,
241, JACKIE S COTA,CA,1835.23,,,CA-21,61
242, S. JOSEPH SIMITIAN,CA,7974.45,,,,
243, ESMERALDA SORIA,CA,5075.31,,,,
244, RISHI KUMAR,CA,803802.21,,,CA-16,96
245, GREG TANAKA,CA,148222.46,,,,
246, AJWANG RADING,CA,229136.68,,,,
247, ANNA G. ESHOO,CA,1982985.73,,,CA-16,96
248, JOHNNY TACHERRA,CA,0.0,,,,
249, NATHAN K BROWN,CA,135995.0,,,,
250, BENJAMIN THOMAS MR SOLOMON,CA,9292.57,,,,
251, RICHARD DR. FOX,CA,15140.0,,,,
252, PETER OHTAKI,CA,58334.65,,,,
253, MIKE HONDA,CA,0.0,,,CA-4,67
254, ROHIT KHANNA,CA,2795086.16,,,CA-17,82
255, RITESH TANDON,CA,116697.57,,,CA-17,96
256, LUIS ACEVEDO-ARREGUIN,CA,16334.18,,,,
257, ZOE LOFGREN,CA,2721976.85,,,CA-18,96
258, PETER HERNANDEZ,CA,248690.33,,,CA-18,97
259, JIMMY PANETTA,CA,1539796.63,,,CA-19,96
260, JEFF GORMAN,CA,58955.07,,,CA-19,96
261, IGNACIO ISRAEL CRUZ-LARA,CA,0.0,,,,
262, DALILA EPPERSON,CA,27851.59,,,,
263, JUSTIN AGUILERA,CA,1430.52,,,,
264, BEN DEWELL,CA,1234.6,,,,
265, MARISA WOOD,CA,1027794.36,,,CA-20,96
266, KEVIN MCCARTHY,CA,24677106.59,,,CA-20,97
267, NICOLE PARRA,CA,148757.59,,,,
268, ANGEL LARA,CA,59226.24,,,,
269, JIM COSTA,CA,2055957.67,,,CA-21,95
270, CHRIS MATHYS,CA,384161.64,,,CA-27,69
271, MARTHA ELENA DR FLORES-GIBSON,CA,0.0,,,,
272, ADAM THOMAS MR MEDEIROS,CA,203170.52,,,,
273, MICHAEL A MAHER,CA,308804.11,,,CA-21,90
274, MATTHEW STOLL,CA,358479.46,,,,
275, ERIC GARCIA,CA,219071.35,,,CA-27,70
276, BRYAN OSORIO,CA,162614.24,,,,
277, RUDY SALAS,CA,2938879.9,,,CA-22,95
278, LOURIN HUBBARD,CA,82382.27,,,,
279, DAVID VALADAO,CA,3808729.26,,,CA-22,87
280, ANDREAS A BORGEAS,CA,43605.0,,,,
281, ELIZABETH HENG,CA,199304.36,,,,
282, CONNIE CONWAY,CA,151822.56,,,,
283, DEVIN G. NUNES,CA,3944892.84,,,,
284, KIM MANGONE,CA,6896.4,,,,
285, DEREK MARSHALL,CA,934526.65,,,CA-23,97
286, BRUNO AMATO,CA,483799.73,,,,
287, LOUIS GILL,CA,131096.73,,,,
288, KURTIS WILSON,CA,0.0,,,,
289, JAY OBERNOLTE,CA,719332.84,,,CA-23,96
290, SALUD O. CARBAJAL,CA,1414453.7,,,CA-24,88
291, JAMES ANDREW CALDWELL,CA,39759.94,,,,
292, BRAD DR. ALLEN,CA,28320.77,,,CA-24,80
293, JUSTIN FAREED,CA,0.0,,,,
294, ELTON GALLEGLY,CA,58155.24,,,,
295, MICHAEL TENENBAUM,CA,0.0,,,CA-45,62
296, MICHAEL ERIN WOODY,CA,524.8,,,CA-10,63
297, MICHELE WESLANDER QUAID,CA,113387.77,,,,
298, RHODA NAZANIN,CA,88482.41,,,,
299, RUTH LUEVANOS,CA,50584.3,,,,
300, STEVE HILL,CA,2016.16,,,,
301, RAUL DR. RUIZ,CA,2928711.62,,,CA-25,78
302, SUZETTE MARTINEZ VALLADARES,CA,7666.54,,,,
303, ANGELA UNDERWOOD JACOBS,CA,48638.98,,,,
304, DAVID LOZANO,CA,0.0,,,,
305, BRIAN HAWKINS,CA,534014.37,,,CA-25,87
306," HOWARD P ""BUCK"" MCKEON",CA,13717.82,,,,
307, BRIAN TYSON,CA,244393.87,,,CA-49,64
308, ALBERT 'BURT' THAKUR,CA,71605.51,,,,
309, ANTHONY A STRICKLAND,CA,0.0,,,,
310, JONATHAN REISS,CA,8123.72,,,CA-11,62
311, CECILIA TRUMAN,CA,9287.94,,,,
312, JULIA BROWNLEY,CA,5162111.7,,,CA-2,62
313, MATTHEW JACOBS,CA,2543130.26,,,CA-26,85
314, FADDE MIKHAIL,CA,16992.0,,,,
315, DAVID GOODMAN,CA,27741.11,,,CA-34,61
316, CHRISTY SMITH,CA,3982885.63,,,CA-27,96
317, JOHN QUAYE II QUARTEY,CA,1206595.55,,,CA-13,61
318, BRYAN WITT,CA,100.0,,,,
319, MICHAEL GARCIA,CA,7385659.69,,,CA-21,71
320, JUDY CHU,CA,991537.1,,,CA-28,94
321, ERIC EARLY,CA,300993.33,,,,
322, WESLEY PHILLIP HALLMAN,CA,104722.18,,,CA-28,65
323, JOHNNY NALBANDIAN,CA,31424.89,,,CA-8,62
324, JENNIFER BARBOSA,CA,1246.59,,,,
325, GIULIANO GIOVANNI DEPAOLIS,CA,5648.63,,,,
326, ANTHONY PORTANTINO,CA,1000.0,,,,
327, TONY CARDENAS,CA,1802224.02,,,CA-29,96
328, ANGELICA MARIA DUENAS,CA,134506.57,,,CA-29,84
329, DAVID RAYMOND HERNANDEZ,CA,0.0,,,,
330, MARGARITA MARIA MMC MMC CARRANZA,CA,7830.2,,,,
331, ADAM SCHIFF,CA,17782589.07,,,CA-30,85
332, G MAEBE A. GIRL PUDLO,CA,30351.4,,,CA-30,91
333, RONDA KENNEDY,CA,61607.73,,,,
334, JOHNNY NALBANDIAN,CA,31424.89,,,CA-8,62
335, PATRICK LEE GIPSON,CA,24682.68,,,,
336, PABLO KLEINMAN,CA,0.0,,,,
337, WILLIAM MEURER,CA,34923.95,,,,
338, ELOISE GOMEZ REYES,CA,0.0,,,,
339, GRACE NAPOLITANO,CA,231815.63,,,CA-31,89
340, AGNES GIBBONEY,CA,10779.54,,,,
341, CAROLYN ELIZABETH MRS COVELL,CA,13055.0,,,,
342, REX DALE ALEXANDER GUTIERREZ,CA,13550.0,,,,
343, SEAN FLYNN,CA,0.0,,,,
344, GARY G MILLER,CA,141445.82,,,,
345, HILDA SOLIS,CA,30139.24,,,,
346, EMANUEL LAWRENCE MR GONZALES,CA,0.0,,,,
347, MESHAL 'KASH' KASHIFALGHITA,CA,1060.0,,,,
348, AARIKA SAMONE RHODES,CA,369642.3,,,,
349, SHERVIN AAZAMI,CA,298818.52,,,,
350, JASON RANDOLPH POTELL,CA,63583.82,,,,
351, AEJAZ (RAJI) RAB,CA,5453.5,,,,
352, BRAD SHERMAN,CA,2266123.26,,,CA-24,61
353, ROGER HERNANDEZ,CA,214.21,,,CA-18,77
354, LEAH MELISSA TOOMIM,CA,32217.43,,,,
355, LUCIE LAPOINTE VOLOTZKY,CA,51615.73,,,CA-32,98
356, JOSHUA SCOTT,CA,10155.34,,,,
357, PETE AGUILAR,CA,3438869.52,,,CA-33,96
358, MATTHEW LOUIS MILLER,CA,2181.0,,,,
359, HENRY A WAXMAN,CA,24720.19,,,,
360, SARAH SUN DR. LIEW,CA,137983.4,,,,
361, JAMES P. BRADLEY,CA,0.0,,,,
362, JOHN MARK MR PORTER,CA,67.17,,,CA-33,89
363, ELAN S. CARR,CA,0.0,,,,
364, DAVID KIM,CA,792.04,,,CA-34,95
365, XAVIER BECERRA,CA,44637.16,,,CA-6,61
366, DAVID YUNG HO KIM,CA,250999.42,,,CA-34,67
367, ARTURO CARMONA,CA,803.4,,,,
368, SARA HERNANDEZ,CA,0.0,,,CA-18,73
369, MARIA CABILDO,CA,0.0,,,,
370, ROBERT LEE AHN,CA,0.0,,,,
371, JIMMY GOMEZ,CA,1652332.32,,,CA-34,96
372, KENNETH MEJIA,CA,649.96,,,,
373, LLOYD ALEXANDER STEVENS,CA,13971.79,,,,
374, NORMA TORRES,CA,620568.93,,,CA-35,86
375, MIKE CARGILE,CA,65802.87,,,CA-27,67
376, RAFAEL DR. CARACAMO,CA,54278.05,,,,
377, TED LIEU,CA,2600682.5,,,CA-36,80
378, ERIN CRUZ,CA,2277.29,,,,
379, JOE E III COLLINS,CA,3128627.06,,,CA-36,72
380, DERRICK ROLLIN GATES,CA,11016.0,,,,
381, CLAIRE RAGGE,CA,28527.69,,,,
382, STORM JENKINS,CA,7475.0,,,,
383, ARIANA HAKAMI,CA,5312.68,,,,
384, KAREN BASS,CA,958796.43,,,,
385, DANIEL LEE,CA,56793.92,,,,
386, SYDNEY KAMLAGER,CA,1106107.22,,,CA-37,97
387, JAN PERRY,CA,709149.38,,,CA-37,82
388, SANDRA MENDOZA,CA,11047.9,,,,
389, MICHAEL MR. SHURE,CA,240845.85,,,CA-21,71
390, ERROL MR. WEBBER,CA,31181.16,,,,
391, ELIZABETH MOREIRA,CA,10424.13,,,,
392, SYLVESTER UGONNA JR. ANI,CA,22050.36,,,,
393, LINDA SANCHEZ,CA,1834767.27,,,CA-38,80
394, MITCHELL CLEMMONS,CA,0.0,,,,
395, ERIC J CHING,CA,275725.66,,,CA-38,92
396, MARK TAKANO,CA,871059.64,,,CA-39,96
397, GILBERT CISNEROS,CA,105061.88,,,,
398, HERBERT LEE,CA,2810.0,,,CA-12,61
399, JOHN LORDSAL MINNELLA,CA,5221.34,,,,
400, ARTHUR LAVERNE DR PETERSON,CA,2683.87,,,,
401, BILL SPINNEY,CA,127780.44,,,,
402, JOHN J CULLUM,CA,0.0,,,,
403, ANTHONY DR. JR. FELIX,CA,21371.69,,,,
404, LUCILLE ROYBAL-ALLARD,CA,180225.16,,,,
405, ASIF DR. MAHMOOD,CA,3652146.02,,,CA-40,83
406, ANTONIO DELGADO,CA,8065.47,,,,
407, GREG RATHS,CA,226602.86,,,,
408, NICHOLAS TAURUS,CA,4882.54,,,,
409, YOUNG KIM,CA,9210118.45,,,CA-40,95
410, RODOLFO CORTES BARRAGAN,CA,1.68,,,,
411, BRANDON MOSELY,CA,200777.77,,,,
412, SHRINA KURANI,CA,548956.4,,,,
413, WILL ROLLINS,CA,3595087.62,,,CA-41,96
414, KEN CALVERT,CA,3922112.33,,,CA-20,62
415, DOUG SHEPHERD,CA,0.0,,,,
416, AJA SMITH,CA,150021.04,,,CA-39,95
417, WILLIAM EDWARD DR IV O'MARA,CA,14864.01,,,,
418, PETER MATHEWS,CA,5764.34,,,,
419, CRISTINA GARCIA,CA,417782.88,,,CA-42,62
420, WILLIAM M. SUMMERVILLE,CA,36322.96,,,,
421, JOAQUIN BELTRAN,CA,33885.62,,,,
422, ROBERT GARCIA,CA,1335074.92,,,CA-27,64
423, JOHN BRISCOE,CA,295812.02,,,CA-42,96
424, MAXINE WATERS,CA,1343379.94,,,CA-43,96
425, OMAR NAVARRO,CA,88751.81,,,CA-43,96
426, ISADORE III HALL,CA,833.14,,,,
427, NANETTE BARRAGAN,CA,742780.4,,,CA-44,84
428, JAY CHEN,CA,5074347.48,,,CA-45,80
429, RON VARASTEH,CA,109.99,,,,
430, BRIAN FORDE,CA,700.2,,,,
431, MICHELLE STEEL,CA,7033383.42,,,CA-45,97
432, TERRY DALE,CA,600.0,,,,
433, SHAWN COLLINS,CA,516145.52,,,CA-41,62
434, GREGORY GERARD RATHS,CA,4267.47,,,,
435, MICHAEL ORTEGA,CA,63332.39,,,CA-21,64
436, LOU CORREA,CA,918746.97,,,CA-46,95
437, CHRISTOPHER GONZALES,CA,35989.61,,,CA-46,91
438, JAMES STEVENS WATERS,CA,5868.92,,,,
439, ALAN LOWENTHAL,CA,393467.04,,,,
440, E. PETER MATHEWS,CA,5764.34,,,,
441, KATHERINE PORTER,CA,28295576.03,,,CA-47,83
442, SOU MOUA,CA,274.0,,,,
443, AMY PHAN WEST,CA,20464.36,,,,
444, BRIAN J MR. BURLEY,CA,357033.0,,,,
445, AMY PHAN WEST,CA,193710.63,,,,
446, MICHELLE LYONS,CA,12176.7,,,CA-45,69
447, SCOTT BAUGH,CA,3071511.28,,,CA-47,96
448, ERROL WEBBER,CA,31181.16,,,,
449, ANDREW WHALLON,CA,0.0,,,,
450, DAVID CLIFFORD,CA,0.0,,,,
451, STEPHEN WILLIAM HOULAHAN,CA,61172.22,,,CA-48,78
452, SUZANNE JOYCE SAVARY,CA,275.0,,,,
453, HARLEY E JR ROUDA,CA,1284698.66,,,,
454, LAURA OATMAN,CA,600.0,,,,
455, MICHAEL KOTICK,CA,650.0,,,,
456, DARRELL ISSA,CA,2012187.17,,,CA-48,96
457, CHRISTOPHER HON. COX,CA,1540.0,,,CA-46,68
458, DANA ROHRABACHER,CA,1681.72,,,,
459, MIKE LEVIN,CA,6196367.57,,,CA-35,61
460, CHRISTOPHER RODRIGUEZ,CA,1240172.28,,,CA-46,62
461, ANNE ELIZABETH,CA,9875.5,,,,
462, LISA BARTLETT,CA,566407.93,,,,
463, JOSIAH ONEIL,CA,156877.11,,,,
464, RENEE TAYLOR,CA,4772.0,,,,
465, KRISTIN GASPAR,CA,20.13,,,,
466, BRIAN L MR MARYOTT,CA,5560850.06,,,CA-49,81
467, MICHAEL D SCHMITT,CA,94.41,,,,
468, TIMOTHY DANIEL DR. M.D. BILASH,CA,2683.12,,,,
469, JOSEPH C. ROCHA,CA,467855.92,,,,
470, KYLIE TAITANO,CA,148644.96,,,,
471, SCOTT PETERS,CA,2178802.68,,,CA-50,96
472, JEFFREY MALLOY,CA,0.0,,,,
473, AMMAR CAMPA-NAJJAR,CA,11584.59,,,,
474, SAM ABED,CA,10400.23,,,,
475, COREY GUSTAFSON,CA,94112.24,,,CA-50,97
476, DAVID CHIDDICK,CA,0.0,,,,
477, WILLIAM DANIEL WELLS,CA,8582.36,,,,
478, BRIAN W JONES,CA,0.0,,,CA-3,62
479, DUNCAN D HUNTER,CA,5200.0,,,,
480, ADAM DR. SCHINDLER,CA,49997.42,,,CA-30,67
481, BARRETT HOLMAN LEAK,CA,2684.55,,,,
482, SARA JACOBS,CA,1677577.47,,,CA-26,70
483, STAN CAPLAN,CA,135385.49,,,CA-51,96
484, JUAN M SGTMAJ JR HIDALGO,CA,0.0,,,,
485, JOSE MARCOS CORTES,CA,6746.33,,,CA-33,63
486, JUAN C. VARGAS,CA,793081.82,,,CA-52,85
487, JOAQUIN VAZQUEZ,CA,6070.94,,,,
488, JAMES DEBELLO,CA,15147.28,,,,
