,CAND_NAME,CAND_OFFICE_ST,TTL_DISB,Percent,Party,district,fuzz
66, WILLIAM MR. HANSON,AR,929.98,,,,
67, HAYDEN CATHERINE SHAMEL,AR,21.0,,,,
68, THOMAS COTTON,AR,3069187.01,,,,
69, BRUCE WESTERMAN,AR,1328211.26,,,AR-4,97.0
70, AUMUA AMATA,AS,57524.13,,,,
71, EVA PUTZOVA,AZ,21118.24,,,,
72, GINGER SYKES TORRES,AZ,129544.06,,,,
73, JEVIN D HODGE,AZ,2501175.74,,,AZ-1,88.0
74, W (WALTER) JOHN WILLIAMSON,AZ,289.73,,,,
75, ADAM METZENDORF,AZ,308020.36,,,,
76, JOSH BARNETT,AZ,62912.51,,,,
77, RICHARD G. RENZI,AZ,1244.79,,,,
78, JOHN W MOORE FOR AZ,AZ,181611.56,,,,
79, ANDY YATES,AZ,114706.0,,,,
80, ELIJAH NORTON,AZ,5398455.02,,,,
81, GARY KIEHNE,AZ,0.0,,,,
82, TIFFANY SHEDD,AZ,76584.62,,,,
83, PETER QUILTER,AZ,1816.0,,,,
84, RANDALL S. FRIESE,AZ,705957.71,,,,
85, TOM O'HALLERAN,AZ,4248739.08,,,AZ-2,97.0
86, MATTHEW GERALD HEINZ,AZ,0.0,,,,
87, JOSEPH DAVID MORGAN,AZ,321.0,,,,
88, BRANDON RAY MARTIN,AZ,606.19,,,,
89, SHAY STAUTZ,AZ,6589.23,,,,
90, WALTER JACK BLACKMAN,AZ,1151626.08,,,,
91, ELI CRANE,AZ,3556205.29,,,AZ-2,95.0
92, RONALD WATKINS,AZ,262318.38,,,,
93, DOUGLAS LOWELL,AZ,278696.15,,,,
94, BRANDON MR. MARTIN,AZ,155633.21,,,,
95, LUCRETIA FREE,AZ,16697.49,,,,
96, MARK DELUZIO,AZ,1331382.96,,,,
97, STEVEN KRYSTOFIAK,AZ,510811.16,,,,
98, MYRON LIZER,AZ,735.52,,,,
99, MARTHA MCSALLY,AZ,0.0,,,,
100, BRANDON RAY MARTIN,AZ,606.19,,,,
101, RUBEN GALLEGO,AZ,1945968.33,,,AZ-3,96.0
102, LUIS B POZZOLO,AZ,268102.04,,,AZ-7,89.0
103, JEFFREY NELSON MR ZINK,AZ,54677.95,,,,
104, EDNA SAN MIGUEL,AZ,0.0,,,,
105, JUDITH STAHL,AZ,261679.59,,,,
106, GREG STANTON,AZ,5324884.85,,,AZ-4,96.0
107, RON GOULD,AZ,0.0,,,,
108, TANYA CONTRERAS WHEELESS,AZ,1285879.4,,,,
109, JERONE DAVISON,AZ,146399.07,,,,
110, KELLY COOPER,AZ,2122236.02,,,AZ-4,96.0
111, JAVIER GARCIA MR. RAMOS,AZ,15626.17,,,AZ-5,67.0
112, JOAN GREENE,AZ,25005.84,,,,
113, ANDY MR. BIGGS,AZ,2437427.13,,,AZ-5,80.0
114, JUSTIN OLSON,AZ,0.0,,,,
115, CLINT SMITH,AZ,197482.53,,,,
116, KARL E GENTLES,AZ,0.0,,,,
117, KIRSTEN ENGEL,AZ,2463661.76,,,AZ-6,96.0
118, MARCOS J URREA,AZ,9603.59,,,,
119, DANIEL HERNANDEZ,AZ,1193639.86,,,,
120, ERIC ULIS,AZ,6336.85,,,,
121, DELINA DISANTO,AZ,183046.71,,,,
122, HIRAL VYAS TIPIRNENI,AZ,58763.17,,,,
123, JEFF MR. FLAKE,AZ,252716.17,,,,
124, JUAN CISCOMANI,AZ,3323773.63,,,AZ-6,97.0
125, KATHLEEN WINN,AZ,346101.4,,,,
126, KEVIN KONCZAL,AZ,12179.69,,,,
127, KELLY TOWNSEND,AZ,21097.95,,,,
128, YOUNG MAYBERRY,AZ,25323.57,,,,
129, DAVID S. SCHWEIKERT,AZ,1926242.8,,,AZ-1,89.0
130, ED L PASTOR,AZ,94444.3,,,,
131, RAUL M GRIJALVA,AZ,642634.53,,,AZ-7,83.0
132, NINA BECKER,AZ,900.19,,,,
133, MICHAEL ARCHANGEL MUSCATO,AZ,35945.64,,,,
134, ROBERT OLSEN,AZ,33578.2,,,,
135, DEBBIE LESKO,AZ,842771.16,,,AZ-8,96.0
136, KYRSTEN SINEMA,AZ,1888765.82,,,,
137, DAVID SCHAPIRA,AZ,0.0,,,AZ-1,71.0
138, PAUL DR. GOSAR,AZ,836153.75,,,AZ-9,80.0
139, VERNON PARKER,AZ,0.0,,,,
140, NICHOLAS TUTORA,AZ,171.26,,,,
141, ADAM MORGAN,AZ,84349.52,,,,
142, TRAVIS W. GRANTHAM,AZ,360.0,,,,
143, ALEX STOVALL,AZ,149501.96,,,,
144, JESUS RENE JR. LOPEZ,AZ,172698.5,,,,
145, RANDY KUTZ,AZ,78885.21,,,,
146, SANDRA E DR DOWLING,AZ,71959.16,,,,
147, DAVID VICTOR GILES,AZ,84345.92,,,,
148, CHRISTINE BISH,CA,84632.17,,,CA-27,64.0
149, ROBERT K LYDON,CA,4129.88,,,,
150, MAX STEINER,CA,590546.44,,,CA-7,64.0
151, DAVID LEON MR. ZINK,CA,16454.0,,,,
152, AUDREY L DENNEY,CA,4628.82,,,,
153, DOUG LAMALFA,CA,685660.72,,,CA-1,96.0
154, ROSE PENELOPE LAGOC YEE,CA,16041.46,,,,
155, BETH HAMPSON,CA,13320.68,,,CA-4,62.0
156, JARED HUFFMAN,CA,746741.79,,,CA-2,96.0
157, DOUGLAS REV BROWER,CA,15677.0,,,CA-2,85.0
158, CHRIS MR COULOMBE,CA,44858.93,,,,
159, ARCHIMEDES M.D. RAMIREZ,CA,23635.0,,,,
160, DALE KENNETH MENSING,CA,5084.77,,,,
161, KERMIT JONES,CA,3223404.96,,,CA-3,96.0
162, J.C. SEAN FEUCHT,CA,10844.69,,,,
163, JASON PALETTA,CA,26405.45,,,,
164, SCOTT R JONES,CA,567898.41,,,CA-50,62.0
165, KEVIN KILEY,CA,3173870.51,,,CA-3,96.0
166, DANIEL LOGUE,CA,0.0,,,,
167, ANDREW DAVID ENGDAHL,CA,10264.97,,,,
168, MIKE MR. THOMPSON,CA,2268638.32,,,CA-4,84.0
169, JESSICA MORSE,CA,31055.55,,,,
170, SETH NEWMAN,CA,303.0,,,,
171, MATTHEW BROCK,CA,11242.15,,,CA-4,83.0
172, MONIKA LOUISE MS. SHELDON-LONDON,CA,5658.3,,,,
173, MICHAEL JAMES MR. BARKLEY,CA,457921.0,,,CA-5,71.0
174, DAVID NATHAN MAIN,CA,8442.0,,,,
175, JOLENE DALY,CA,4840.31,,,,
176, NATHAN MAGSIG,CA,428764.28,,,,
177, THOMAS MCCLINTOCK,CA,1649175.16,,,CA-5,88.0
178, AMERISH BERA,CA,1809478.16,,,CA-6,76.0
179, DELMA JEFFERSON,CA,82073.35,,,,
180, TAMIKA HAMILTON,CA,1157631.44,,,CA-6,97.0
181, JOHN DENNIS MCQUAID,CA,935475.09,,,CA-11,71.0
182, DAVID KEITH MR. JR. LANGFORD,CA,427.37,,,,
183, BRET DANIELS,CA,15187.0,,,,
184, KARLA BLACK,CA,2935.58,,,,
185, JAMES LUCAS FREMGEN,CA,42377.71,,,,
186, DORIS MATSUI,CA,1404041.35,,,CA-7,96.0
187, ROBERT BUZZ PATTERSON,CA,19304.83,,,,
188, JON IVY,CA,19.5,,,,
189, ELIZABETH EMKEN,CA,0.0,,,,
190, MAX SEMENENKO,CA,48486.15,,,CA-7,96.0
191, IGOR A BIRMAN,CA,0.0,,,,
192, ANDREW GRANT,CA,7945.34,,,,
193, CHRISTINE BUBSER,CA,14783.63,,,,
194, BLANCA GOMEZ,CA,1743.02,,,,
195, JOHN GARAMENDI,CA,1103531.85,,,CA-11,62.0
196, DEMNLUS III JOHNSON,CA,29590.73,,,,
197, CHERYL SUDDUTH,CA,35618.76,,,,
198, EDWIN RUTSCH,CA,9075.0,,,,
199, JEREMY STAAT,CA,125.0,,,,
200, RUDY RECILE,CA,60154.65,,,CA-8,96.0
201, PAUL COOK,CA,3118.66,,,,
202, HARPREET SINGH CHIMA,CA,80940.93,,,,
203, KARENA FENG,CA,6381714.98,,,,
204, JERRY MCNERNEY,CA,696267.17,,,,
205, JOSH HARDER,CA,8715083.6,,,CA-13,61.0
206, THOMAS PATTI,CA,1576834.54,,,CA-9,82.0
207, JONATHAN MADISON,CA,72638.76,,,,
208, JAMES H SHOEMAKER,CA,26871.26,,,,
209, MARK DESAULNIER,CA,524180.45,,,CA-10,97.0
210, JEFF DENHAM,CA,78162.73,,,,
211, RANJIT GILL,CA,213525.0,,,,
212, TED D II HOWZE,CA,15904.39,,,,
213, MICHAEL ERNEST KERR,CA,6620.58,,,CA-10,97.0
214, JEFFREY ALAN PHILLIPS,CA,4979.03,,,,
215, NANCY PELOSI,CA,27787734.22,,,CA-11,96.0
216, SHAHID BUTTAR,CA,200990.85,,,,
217, NISHA SHARMA,CA,1229.94,,,,
218, JOHN MR. DENNIS,CA,935475.09,,,CA-11,81.0
219, MICHAEL ERNEST KERR,CA,6620.58,,,CA-10,97.0
220, ERIC CURRY,CA,5177.0,,,,
221, BARBARA LEE,CA,2269457.32,,,CA-12,96.0
222, DEANNA LORRAINE,CA,1503.04,,,,
223, STEPHEN SCOTT SLAUSON,CA,1050.0,,,CA-12,81.0
224, PHIL ARBALLO,CA,1637184.73,,,,
225, ADAM C. GRAY,CA,2259284.48,,,CA-13,82.0
226, DIEGO J MARTINEZ,CA,2114.3,,,CA-31,68.0
227, DAVID ANTHONY GIGLIO,CA,737065.43,,,,
228, JOHN DUARTE,CA,2508119.84,,,CA-11,61.0
229, CRISTOS JON GOODROW,CA,295.06,,,,
230, ANDREW G. WATTERS,CA,0.0,,,CA-43,65.0
231, ERIC MICHAEL SWALWELL,CA,3659003.02,,,CA-14,74.0
232, JACKIE SPEIER,CA,409825.44,,,,
233, THOMAS WONG,CA,16598.76,,,CA-4,64.0
234, STEVE IYER,CA,2274.46,,,CA-1,64.0
235, MAJOR SINGH,CA,13708.23,,,,
236, KEVIN MULLIN,CA,1140955.83,,,CA-15,96.0
237, DAVID CANEPA,CA,815318.46,,,CA-15,86.0
238, EMILY BEACH,CA,580608.95,,,,
239, GUS MATTAMMAL,CA,36337.71,,,,
240, JACKIE S COTA,CA,1835.23,,,CA-21,61.0
241, S. JOSEPH SIMITIAN,CA,7974.45,,,,
242, ESMERALDA SORIA,CA,5075.31,,,,
243, RISHI KUMAR,CA,803802.21,,,CA-16,96.0
244, GREG TANAKA,CA,148222.46,,,,
245, AJWANG RADING,CA,229136.68,,,,
246, ANNA G. ESHOO,CA,1982985.73,,,CA-16,96.0
247, JOHNNY TACHERRA,CA,0.0,,,,
248, NATHAN K BROWN,CA,135995.0,,,,
249, BENJAMIN THOMAS MR SOLOMON,CA,9292.57,,,,
250, RICHARD DR. FOX,CA,15140.0,,,,
251, PETER OHTAKI,CA,58334.65,,,,
252, MIKE HONDA,CA,0.0,,,CA-4,67.0
253, ROHIT KHANNA,CA,2795086.16,,,CA-17,82.0
254, RITESH TANDON,CA,116697.57,,,CA-17,96.0
255, LUIS ACEVEDO-ARREGUIN,CA,16334.18,,,,
256, ZOE LOFGREN,CA,2721976.85,,,CA-18,96.0
257, PETER HERNANDEZ,CA,248690.33,,,CA-18,97.0
258, JIMMY PANETTA,CA,1539796.63,,,CA-19,96.0
259, JEFF GORMAN,CA,58955.07,,,CA-19,96.0
260, IGNACIO ISRAEL CRUZ-LARA,CA,0.0,,,,
261, DALILA EPPERSON,CA,27851.59,,,,
262, JUSTIN AGUILERA,CA,1430.52,,,,
263, BEN DEWELL,CA,1234.6,,,,
264, MARISA WOOD,CA,1027794.36,,,CA-20,96.0
265, KEVIN MCCARTHY,CA,24677106.59,,,CA-20,97.0
266, NICOLE PARRA,CA,148757.59,,,,
267, ANGEL LARA,CA,59226.24,,,,
268, JIM COSTA,CA,2055957.67,,,CA-21,95.0
269, CHRIS MATHYS,CA,384161.64,,,CA-27,69.0
270, MARTHA ELENA DR FLORES-GIBSON,CA,0.0,,,,
271, ADAM THOMAS MR MEDEIROS,CA,203170.52,,,,
272, MICHAEL A MAHER,CA,308804.11,,,CA-21,90.0
273, MATTHEW STOLL,CA,358479.46,,,,
274, ERIC GARCIA,CA,219071.35,,,CA-27,70.0
275, BRYAN OSORIO,CA,162614.24,,,,
276, RUDY SALAS,CA,2938879.9,,,CA-22,95.0
277, LOURIN HUBBARD,CA,82382.27,,,,
278, DAVID VALADAO,CA,3808729.26,,,CA-22,87.0
279, ANDREAS A BORGEAS,CA,43605.0,,,,
280, ELIZABETH HENG,CA,199304.36,,,,
281, CONNIE CONWAY,CA,151822.56,,,,
282, DEVIN G. NUNES,CA,3944892.84,,,,
283, KIM MANGONE,CA,6896.4,,,,
284, DEREK MARSHALL,CA,934526.65,,,CA-23,97.0
285, BRUNO AMATO,CA,483799.73,,,,
286, LOUIS GILL,CA,131096.73,,,,
287, KURTIS WILSON,CA,0.0,,,,
288, JAY OBERNOLTE,CA,719332.84,,,CA-23,96.0
289, SALUD O. CARBAJAL,CA,1414453.7,,,CA-24,88.0
290, JAMES ANDREW CALDWELL,CA,39759.94,,,,
291, BRAD DR. ALLEN,CA,28320.77,,,CA-24,80.0
292, JUSTIN FAREED,CA,0.0,,,,
293, ELTON GALLEGLY,CA,58155.24,,,,
294, MICHAEL TENENBAUM,CA,0.0,,,CA-45,62.0
295, MICHAEL ERIN WOODY,CA,524.8,,,CA-10,63.0
296, MICHELE WESLANDER QUAID,CA,113387.77,,,,
297, RHODA NAZANIN,CA,88482.41,,,,
298, RUTH LUEVANOS,CA,50584.3,,,,
299, STEVE HILL,CA,2016.16,,,,
300, RAUL DR. RUIZ,CA,2928711.62,,,CA-25,78.0
301, SUZETTE MARTINEZ VALLADARES,CA,7666.54,,,,
302, ANGELA UNDERWOOD JACOBS,CA,48638.98,,,,
303, DAVID LOZANO,CA,0.0,,,,
304, BRIAN HAWKINS,CA,534014.37,,,CA-25,87.0
305," HOWARD P ""BUCK"" MCKEON",CA,13717.82,,,,
306, BRIAN TYSON,CA,244393.87,,,CA-49,64.0
307, ALBERT 'BURT' THAKUR,CA,71605.51,,,,
308, ANTHONY A STRICKLAND,CA,0.0,,,,
309, JONATHAN REISS,CA,8123.72,,,CA-11,62.0
310, CECILIA TRUMAN,CA,9287.94,,,,
311, JULIA BROWNLEY,CA,5162111.7,,,CA-2,62.0
312, MATTHEW JACOBS,CA,2543130.26,,,CA-26,85.0
313, FADDE MIKHAIL,CA,16992.0,,,,
314, DAVID GOODMAN,CA,27741.11,,,CA-34,61.0
315, CHRISTY SMITH,CA,3982885.63,,,CA-27,96.0
316, JOHN QUAYE II QUARTEY,CA,1206595.55,,,CA-13,61.0
317, BRYAN WITT,CA,100.0,,,,
318, MICHAEL GARCIA,CA,7385659.69,,,CA-21,71.0
319, JUDY CHU,CA,991537.1,,,CA-28,94.0
320, ERIC EARLY,CA,300993.33,,,,
321, WESLEY PHILLIP HALLMAN,CA,104722.18,,,CA-28,65.0
322, JOHNNY NALBANDIAN,CA,31424.89,,,CA-8,62.0
323, JENNIFER BARBOSA,CA,1246.59,,,,
324, GIULIANO GIOVANNI DEPAOLIS,CA,5648.63,,,,
325, ANTHONY PORTANTINO,CA,1000.0,,,,
326, TONY CARDENAS,CA,1802224.02,,,CA-29,96.0
327, ANGELICA MARIA DUENAS,CA,134506.57,,,CA-29,84.0
328, DAVID RAYMOND HERNANDEZ,CA,0.0,,,,
329, MARGARITA MARIA MMC MMC CARRANZA,CA,7830.2,,,,
330, ADAM SCHIFF,CA,17782589.07,,,CA-30,85.0
331, G MAEBE A. GIRL PUDLO,CA,30351.4,,,CA-30,91.0
332, RONDA KENNEDY,CA,61607.73,,,,
333, JOHNNY NALBANDIAN,CA,31424.89,,,CA-8,62.0
334, PATRICK LEE GIPSON,CA,24682.68,,,,
335, PABLO KLEINMAN,CA,0.0,,,,
336, WILLIAM MEURER,CA,34923.95,,,,
337, ELOISE GOMEZ REYES,CA,0.0,,,,
338, GRACE NAPOLITANO,CA,231815.63,,,CA-31,89.0
339, AGNES GIBBONEY,CA,10779.54,,,,
340, CAROLYN ELIZABETH MRS COVELL,CA,13055.0,,,,
341, REX DALE ALEXANDER GUTIERREZ,CA,13550.0,,,,
342, SEAN FLYNN,CA,0.0,,,,
343, GARY G MILLER,CA,141445.82,,,,
344, HILDA SOLIS,CA,30139.24,,,,
345, EMANUEL LAWRENCE MR GONZALES,CA,0.0,,,,
346, MESHAL 'KASH' KASHIFALGHITA,CA,1060.0,,,,
347, AARIKA SAMONE RHODES,CA,369642.3,,,,
348, SHERVIN AAZAMI,CA,298818.52,,,,
349, JASON RANDOLPH POTELL,CA,63583.82,,,,
350, AEJAZ (RAJI) RAB,CA,5453.5,,,,
351, BRAD SHERMAN,CA,2266123.26,,,CA-24,61.0
352, ROGER HERNANDEZ,CA,214.21,,,CA-18,77.0
353, LEAH MELISSA TOOMIM,CA,32217.43,,,,
354, LUCIE LAPOINTE VOLOTZKY,CA,51615.73,,,CA-32,98.0
355, JOSHUA SCOTT,CA,10155.34,,,,
356, PETE AGUILAR,CA,3438869.52,,,CA-33,96.0
357, MATTHEW LOUIS MILLER,CA,2181.0,,,,
358, HENRY A WAXMAN,CA,24720.19,,,,
359, SARAH SUN DR. LIEW,CA,137983.4,,,,
360, JAMES P. BRADLEY,CA,0.0,,,,
361, JOHN MARK MR PORTER,CA,67.17,,,CA-33,89.0
362, ELAN S. CARR,CA,0.0,,,,
363, DAVID KIM,CA,792.04,,,CA-34,95.0
364, XAVIER BECERRA,CA,44637.16,,,CA-6,61.0
365, DAVID YUNG HO KIM,CA,250999.42,,,CA-34,67.0
366, ARTURO CARMONA,CA,803.4,,,,
367, SARA HERNANDEZ,CA,0.0,,,CA-18,73.0
368, MARIA CABILDO,CA,0.0,,,,
369, ROBERT LEE AHN,CA,0.0,,,,
370, JIMMY GOMEZ,CA,1652332.32,,,CA-34,96.0
371, KENNETH MEJIA,CA,649.96,,,,
372, LLOYD ALEXANDER STEVENS,CA,13971.79,,,,
373, NORMA TORRES,CA,620568.93,,,CA-35,86.0
374, MIKE CARGILE,CA,65802.87,,,CA-27,67.0
375, RAFAEL DR. CARACAMO,CA,54278.05,,,,
376, TED LIEU,CA,2600682.5,,,CA-36,80.0
377, ERIN CRUZ,CA,2277.29,,,,
378, JOE E III COLLINS,CA,3128627.06,,,CA-36,72.0
379, DERRICK ROLLIN GATES,CA,11016.0,,,,
380, CLAIRE RAGGE,CA,28527.69,,,,
381, STORM JENKINS,CA,7475.0,,,,
382, ARIANA HAKAMI,CA,5312.68,,,,
383, KAREN BASS,CA,958796.43,,,,
384, DANIEL LEE,CA,56793.92,,,,
385, SYDNEY KAMLAGER,CA,1106107.22,,,CA-37,97.0
386, JAN PERRY,CA,709149.38,,,CA-37,82.0
387, SANDRA MENDOZA,CA,11047.9,,,,
388, MICHAEL MR. SHURE,CA,240845.85,,,CA-21,71.0
389, ERROL MR. WEBBER,CA,31181.16,,,,
390, ELIZABETH MOREIRA,CA,10424.13,,,,
391, SYLVESTER UGONNA JR. ANI,CA,22050.36,,,,
392, LINDA SANCHEZ,CA,1834767.27,,,CA-38,80.0
393, MITCHELL CLEMMONS,CA,0.0,,,,
394, ERIC J CHING,CA,275725.66,,,CA-38,92.0
395, MARK TAKANO,CA,871059.64,,,CA-39,96.0
396, GILBERT CISNEROS,CA,105061.88,,,,
397, HERBERT LEE,CA,2810.0,,,CA-12,61.0
398, JOHN LORDSAL MINNELLA,CA,5221.34,,,,
399, ARTHUR LAVERNE DR PETERSON,CA,2683.87,,,,
400, BILL SPINNEY,CA,127780.44,,,,
401, JOHN J CULLUM,CA,0.0,,,,
402, ANTHONY DR. JR. FELIX,CA,21371.69,,,,
403, LUCILLE ROYBAL-ALLARD,CA,180225.16,,,,
404, ASIF DR. MAHMOOD,CA,3652146.02,,,CA-40,83.0
405, ANTONIO DELGADO,CA,8065.47,,,,
406, GREG RATHS,CA,226602.86,,,,
407, NICHOLAS TAURUS,CA,4882.54,,,,
408, YOUNG KIM,CA,9210118.45,,,CA-40,95.0
409, RODOLFO CORTES BARRAGAN,CA,1.68,,,,
410, BRANDON MOSELY,CA,200777.77,,,,
411, SHRINA KURANI,CA,548956.4,,,,
412, WILL ROLLINS,CA,3595087.62,,,CA-41,96.0
413, KEN CALVERT,CA,3922112.33,,,CA-20,62.0
414, DOUG SHEPHERD,CA,0.0,,,,
415, AJA SMITH,CA,150021.04,,,CA-39,95.0
416, WILLIAM EDWARD DR IV O'MARA,CA,14864.01,,,,
417, PETER MATHEWS,CA,5764.34,,,,
418, CRISTINA GARCIA,CA,417782.88,,,CA-42,62.0
419, WILLIAM M. SUMMERVILLE,CA,36322.96,,,,
420, JOAQUIN BELTRAN,CA,33885.62,,,,
421, ROBERT GARCIA,CA,1335074.92,,,CA-27,64.0
422, JOHN BRISCOE,CA,295812.02,,,CA-42,96.0
423, MAXINE WATERS,CA,1343379.94,,,CA-43,96.0
424, OMAR NAVARRO,CA,88751.81,,,CA-43,96.0
425, ISADORE III HALL,CA,833.14,,,,
426, NANETTE BARRAGAN,CA,742780.4,,,CA-44,84.0
427, JAY CHEN,CA,5074347.48,,,CA-45,80.0
428, RON VARASTEH,CA,109.99,,,,
429, BRIAN FORDE,CA,700.2,,,,
430, MICHELLE STEEL,CA,7033383.42,,,CA-45,97.0
431, TERRY DALE,CA,600.0,,,,
432, SHAWN COLLINS,CA,516145.52,,,CA-41,62.0
433, GREGORY GERARD RATHS,CA,4267.47,,,,
434, MICHAEL ORTEGA,CA,63332.39,,,CA-21,64.0
435, LOU CORREA,CA,918746.97,,,CA-46,95.0
436, CHRISTOPHER GONZALES,CA,35989.61,,,CA-46,91.0
437, JAMES STEVENS WATERS,CA,5868.92,,,,
438, ALAN LOWENTHAL,CA,393467.04,,,,
439, E. PETER MATHEWS,CA,5764.34,,,,
440, KATHERINE PORTER,CA,28295576.03,,,CA-47,83.0
441, SOU MOUA,CA,274.0,,,,
442, AMY PHAN WEST,CA,20464.36,,,,
443, BRIAN J MR. BURLEY,CA,357033.0,,,,
444, AMY PHAN WEST,CA,193710.63,,,,
445, MICHELLE LYONS,CA,12176.7,,,CA-45,69.0
446, SCOTT BAUGH,CA,3071511.28,,,CA-47,96.0
447, ERROL WEBBER,CA,31181.16,,,,
448, ANDREW WHALLON,CA,0.0,,,,
449, DAVID CLIFFORD,CA,0.0,,,,
450, STEPHEN WILLIAM HOULAHAN,CA,61172.22,,,CA-48,78.0
451, SUZANNE JOYCE SAVARY,CA,275.0,,,,
452, HARLEY E JR ROUDA,CA,1284698.66,,,,
453, LAURA OATMAN,CA,600.0,,,,
454, MICHAEL KOTICK,CA,650.0,,,,
455, DARRELL ISSA,CA,2012187.17,,,CA-48,96.0
456, CHRISTOPHER HON. COX,CA,1540.0,,,CA-46,68.0
457, DANA ROHRABACHER,CA,1681.72,,,,
458, MIKE LEVIN,CA,6196367.57,,,CA-35,61.0
459, CHRISTOPHER RODRIGUEZ,CA,1240172.28,,,CA-46,62.0
460, ANNE ELIZABETH,CA,9875.5,,,,
461, LISA BARTLETT,CA,566407.93,,,,
462, JOSIAH ONEIL,CA,156877.11,,,,
463, RENEE TAYLOR,CA,4772.0,,,,
464, KRISTIN GASPAR,CA,20.13,,,,
465, BRIAN L MR MARYOTT,CA,5560850.06,,,CA-49,81.0
466, MICHAEL D SCHMITT,CA,94.41,,,,
467, TIMOTHY DANIEL DR. M.D. BILASH,CA,2683.12,,,,
468, JOSEPH C. ROCHA,CA,467855.92,,,,
469, KYLIE TAITANO,CA,148644.96,,,,
470, SCOTT PETERS,CA,2178802.68,,,CA-50,96.0
471, JEFFREY MALLOY,CA,0.0,,,,
472, AMMAR CAMPA-NAJJAR,CA,11584.59,,,,
473, SAM ABED,CA,10400.23,,,,
474, COREY GUSTAFSON,CA,94112.24,,,CA-50,97.0
475, DAVID CHIDDICK,CA,0.0,,,,
476, WILLIAM DANIEL WELLS,CA,8582.36,,,,
477, BRIAN W JONES,CA,0.0,,,CA-3,62.0
478, DUNCAN D HUNTER,CA,5200.0,,,,
479, ADAM DR. SCHINDLER,CA,49997.42,,,CA-30,67.0
480, BARRETT HOLMAN LEAK,CA,2684.55,,,,
481, SARA JACOBS,CA,1677577.47,,,CA-26,70.0
482, STAN CAPLAN,CA,135385.49,,,CA-51,96.0
483, JUAN M SGTMAJ JR HIDALGO,CA,0.0,,,,
484, JOSE MARCOS CORTES,CA,6746.33,,,CA-33,63.0
485, JUAN C. VARGAS,CA,793081.82,,,CA-52,85.0
